country,product_type,listings,sales,sales_rate,avg_price
United Kingdom,Silk tie,1543,16,1.0369410239792611,82.87174983797796
United Kingdom,Leather flats,1528,46,3.0104712041884816,331.4279842931937
United Kingdom,Sweatshirt,1508,18,1.1936339522546418,272.33544429708223
United Kingdom,Trousers,1471,21,1.4276002719238612,239.4833854520734
United Kingdom,Mini dress,1156,21,1.8166089965397925,242.55376297577857
United Kingdom,Leather low trainers,1155,18,1.5584415584415585,430.24919480519475
United Kingdom,Leather sandal,937,37,3.9487726787620065,265.94066168623266
United Kingdom,Leather trainers,860,19,2.2093023255813953,261.6442093023256
Spain,Vest,2465,21,0.8519269776876268,247.94922109533468
Spain,Shirt,1863,14,0.7514761137949544,151.97256575415994
Spain,Sunglasses,1660,15,0.9036144578313252,212.56077108433735
Spain,Silk tie,1324,8,0.6042296072507553,77.7125075528701
Spain,T-shirt,1287,27,2.097902097902098,133.72307692307692
Spain,Pull,1115,6,0.5381165919282511,173.96458295964126
Spain,Puffer,1021,0,0.0,358.1624779627816
Spain,Trench,1012,2,0.1976284584980237,372.959604743083
Spain,Jacket,1000,19,1.9,294.22772000000003
Spain,Trousers,998,16,1.6032064128256511,174.9654108216433
Spain,Watch,917,6,0.6543075245365322,961.2418102508178
Spain,Leather belt,757,8,1.0568031704095113,187.68647291941878
Spain,Sweatshirt,750,11,1.4666666666666666,170.4942133333333
Spain,Leather low trainers,735,13,1.7687074829931975,281.42470748299314
Spain,Mid-length dress,617,12,1.9448946515397085,210.56317666126418
Germany,Vest,1385,20,1.444043321299639,426.5320144404333
Germany,Leather trainers,1314,21,1.5981735159817352,299.12899543378995
Germany,Leather heels,1221,41,3.357903357903358,249.80004095004094
Germany,Leather boots,1111,20,1.8001800180018002,390.4155445544555
Germany,T-shirt,1023,32,3.1280547409579667,179.40054740957967
Germany,Jacket,1010,16,1.5841584158415842,384.739792079208
Germany,Sweatshirt,907,18,1.9845644983461963,298.080341786108
Germany,Sunglasses,887,19,2.142051860202931,212.14276211950394
Germany,Shirt,877,30,3.4207525655644244,183.7323489167617
Germany,Leather flats,865,21,2.4277456647398843,307.5021965317919
Germany,Trousers,809,15,1.8541409147095178,237.58533992583435
Germany,Mid-length dress,733,25,3.4106412005457027,257.9045293315143
Germany,Leather low trainers,713,11,1.5427769985974753,390.0767741935484
Germany,Leather lace ups,706,13,1.8413597733711047,332.6608640226629
